event_type,src_ip_type,dst_port,protocol,alert_severity,alert_signature,failed_attempts,session_duration,bytes_sent,is_cloud_asset,label
auth,external,21,tcp,low,normal,1,308,257,1,1
cloud,internal,80,udp,medium,port_scan,1,104,5348,0,1
ids,internal,3389,tcp,low,normal,1,173,7088,1,0
firewall,external,53,tcp,medium,malware,1,7,16449,0,1
firewall,internal,25,tcp,low,normal,2,102,439,0,0
firewall,internal,8080,udp,high,bruteforce,20,57,9025,0,1
firewall,internal,5432,udp,low,normal,6,586,10375,0,0
ids,internal,3389,tcp,medium,bruteforce,25,14,525,0,1
auth,internal,5432,tcp,low,normal,2,432,2363,0,0
firewall,internal,22,tcp,low,normal,1,165,4371,0,0
ids,internal,3389,udp,medium,normal,0,16,162,0,0
cloud,internal,22,udp,high,bruteforce,36,89,4623,1,1
cloud,internal,22,udp,low,normal,3,96,6577,1,0
firewall,external,80,tcp,low,normal,1,270,4164,1,1
ids,internal,5432,tcp,medium,malware,1,366,6279,1,1
auth,external,80,tcp,medium,normal,1,246,1833,0,1
ids,external,21,udp,low,normal,4,99,1332,0,1
ids,internal,3389,tcp,low,normal,0,347,1180,1,0
auth,internal,25,tcp,low,normal,0,462,910,0,0
ids,internal,22,tcp,high,normal,1,229,7434,0,1
ids,external,3389,tcp,high,bruteforce,17,420,2240,0,1
ids,internal,53,tcp,low,normal,1,316,3914,1,0
ids,internal,53,tcp,high,normal,0,141,258,0,1
ids,internal,25,tcp,low,normal,2,85,419,0,0
cloud,internal,3389,tcp,medium,normal,0,95,2435,1,0
ids,internal,21,tcp,medium,normal,1,103,4724,0,0
ids,external,3389,tcp,low,normal,0,275,3221,1,0
ids,internal,5432,tcp,low,normal,4,351,502,0,0
cloud,internal,8080,tcp,low,normal,1,468,3724,1,0
firewall,external,21,udp,low,normal,1,440,3179,1,1
firewall,external,8080,udp,low,normal,2,3,1873,0,0
cloud,internal,53,tcp,medium,port_scan,0,552,217,1,1
firewall,internal,5432,tcp,high,malware,2,100,13854,0,1
firewall,internal,8080,tcp,low,normal,1,321,1207,0,0
ids,internal,25,udp,medium,bruteforce,27,554,1179,0,1
firewall,internal,443,tcp,medium,normal,2,42,674,0,0
firewall,internal,22,tcp,medium,malware,0,14,22092,0,1
auth,internal,22,tcp,high,port_scan,1,538,183,0,1
ids,external,53,tcp,low,normal,4,264,3157,1,1
firewall,internal,53,tcp,low,normal,2,172,12211,0,0
ids,internal,3306,udp,low,normal,0,80,2033,0,0
ids,external,3389,udp,low,normal,1,95,2305,0,0
firewall,external,8080,tcp,medium,normal,4,450,2712,1,0
cloud,internal,22,tcp,high,port_scan,1,45,8489,0,1
firewall,internal,21,tcp,low,normal,4,673,4638,0,0
auth,external,25,tcp,medium,normal,1,169,12566,0,1
ids,internal,53,tcp,high,normal,3,58,173,0,1
ids,external,21,udp,low,normal,3,251,6877,0,1
ids,external,22,udp,medium,bruteforce,22,50,17812,0,1
firewall,internal,3306,tcp,medium,normal,4,159,1151,0,0
ids,external,5432,tcp,low,normal,1,294,607,1,0
ids,external,21,tcp,high,malware,1,32,4113,1,1
auth,external,80,tcp,low,normal,2,299,953,1,1
ids,internal,3389,tcp,low,normal,3,150,7882,0,0
firewall,external,21,tcp,high,port_scan,1,705,2466,1,1
firewall,internal,443,tcp,medium,bruteforce,23,643,9044,1,1
firewall,external,80,tcp,medium,port_scan,4,745,8982,0,1
firewall,internal,8080,tcp,medium,bruteforce,19,89,766,0,1
firewall,internal,3389,tcp,low,normal,1,307,2233,0,0
ids,internal,443,tcp,low,normal,3,26,3414,0,0
auth,internal,8080,udp,low,normal,1,246,455,1,0
cloud,internal,21,tcp,medium,normal,0,368,1286,1,0
ids,internal,53,udp,low,normal,2,157,1098,0,0
ids,internal,53,tcp,low,normal,0,80,19627,0,0
cloud,internal,3389,tcp,low,normal,1,61,445,0,0
firewall,external,3389,tcp,low,normal,1,81,9467,1,0
firewall,external,25,tcp,medium,normal,2,67,9272,0,1
firewall,internal,25,udp,medium,port_scan,1,2238,2644,0,1
ids,internal,23,tcp,high,port_scan,2,152,374,0,1
firewall,internal,8080,tcp,low,normal,1,11,12180,1,0
firewall,internal,53,tcp,high,normal,1,121,10667,0,1
ids,external,80,udp,medium,normal,3,181,4187,1,1
firewall,external,80,tcp,medium,normal,2,68,7484,0,1
auth,internal,22,tcp,low,normal,1,200,5,1,0
firewall,external,22,udp,high,malware,2,53,6522,1,1
ids,external,3389,tcp,medium,normal,4,57,9655,0,0
firewall,internal,22,udp,high,bruteforce,16,74,2213,1,1
auth,internal,3306,tcp,low,normal,1,68,3996,0,0
auth,internal,443,udp,high,bruteforce,42,24,5896,0,1
auth,internal,22,tcp,medium,normal,3,2086,5358,0,0
ids,internal,22,udp,medium,normal,1,81,11039,0,0
auth,internal,80,tcp,high,bruteforce,17,410,1237,1,1
auth,internal,25,tcp,medium,normal,0,25,1865,1,0
ids,internal,8080,tcp,low,normal,1,197,16534,0,0
firewall,internal,443,tcp,high,port_scan,2,48,5037,1,1
firewall,internal,443,tcp,high,port_scan,0,35,1883,0,1
auth,internal,8080,tcp,medium,normal,1,127,4125,0,0
ids,internal,443,tcp,medium,normal,2,398,1604,0,0
firewall,internal,80,tcp,low,normal,4,46,3991,0,0
cloud,external,80,tcp,medium,normal,2,87,6535,1,1
auth,external,443,tcp,medium,normal,1,158,221,0,1
cloud,internal,443,tcp,medium,bruteforce,20,496,3045,0,1
cloud,internal,5432,udp,low,normal,3,185,780,1,0
ids,external,3306,udp,low,normal,2,1094,11816,1,0
auth,external,3389,tcp,medium,bruteforce,39,204,2347,0,1
firewall,internal,443,tcp,medium,normal,0,325,262,0,0
cloud,external,5432,tcp,low,normal,0,344,5458,0,0
ids,internal,3389,tcp,medium,bruteforce,31,72,23055,1,1
cloud,internal,25,tcp,medium,malware,1,4,2370,0,1
auth,external,21,tcp,low,normal,0,314,3049,0,1
auth,internal,5432,tcp,medium,normal,1,93,13141,1,0
ids,external,3389,tcp,medium,normal,2,28,2628,1,0
ids,internal,25,tcp,high,malware,2,8,897,0,1
auth,internal,53,tcp,low,normal,1,1000,7433,0,0
ids,internal,21,udp,medium,bruteforce,26,439,2754,1,1
cloud,external,80,udp,low,normal,4,402,2366,0,1
ids,internal,80,tcp,low,normal,3,41,2621,0,0
auth,external,5432,tcp,low,normal,3,442,3536,0,0
firewall,external,5432,tcp,low,normal,3,5,5164,1,0
auth,internal,22,tcp,high,bruteforce,36,19,2146,0,1
auth,internal,53,udp,low,normal,0,18,8185,0,0
firewall,internal,25,tcp,high,malware,3,84,9945,1,1
ids,external,443,tcp,high,port_scan,3,8,1891,0,1
ids,external,80,tcp,low,normal,5,521,1936,0,1
firewall,internal,443,tcp,high,port_scan,2,260,11925,1,1
firewall,internal,21,tcp,medium,normal,2,85,17418,0,0
auth,internal,22,tcp,medium,normal,3,123,2459,0,0
firewall,internal,25,udp,medium,bruteforce,28,763,3547,0,1
firewall,internal,5432,tcp,low,normal,3,405,6303,1,0
firewall,external,25,tcp,medium,normal,2,52,701,1,1
ids,external,5432,tcp,medium,normal,2,238,2087,1,0
firewall,external,3389,tcp,high,bruteforce,24,2,1401,0,1
cloud,internal,3389,tcp,low,normal,2,233,523,0,0
cloud,internal,5432,tcp,medium,normal,4,30,5404,0,0
firewall,internal,443,tcp,low,normal,4,60,4951,0,0
firewall,internal,53,tcp,high,malware,4,921,19890,1,1
cloud,internal,8080,udp,medium,bruteforce,38,171,8023,1,1
firewall,internal,22,udp,medium,port_scan,2,79,1792,0,1
ids,external,21,tcp,medium,normal,2,9,1361,1,1
ids,internal,3389,tcp,medium,normal,1,287,3811,0,0
firewall,external,21,tcp,medium,port_scan,0,49,5297,0,1
cloud,internal,8080,udp,high,normal,1,66,6072,0,1
auth,internal,22,udp,medium,port_scan,0,116,7597,1,1
ids,internal,443,udp,low,normal,1,1205,2244,0,0
ids,internal,443,tcp,medium,normal,4,244,2616,0,0
auth,external,22,udp,low,normal,1,283,1016,0,1
cloud,internal,3389,tcp,low,normal,2,649,582,1,0
auth,external,25,tcp,medium,malware,2,290,17619,1,1
auth,internal,22,tcp,high,port_scan,2,79,2247,0,1
ids,internal,25,tcp,medium,port_scan,1,359,3242,0,1
cloud,internal,5432,tcp,low,normal,0,438,2596,0,0
auth,external,3306,tcp,medium,normal,3,153,2200,0,0
ids,internal,53,tcp,high,normal,3,93,3472,0,1
auth,external,3389,tcp,low,normal,1,18,3052,0,0
ids,internal,80,tcp,low,normal,2,60,9499,0,0
ids,internal,5432,udp,high,malware,4,337,5379,0,1
ids,external,5432,tcp,high,bruteforce,29,39,12713,0,1
ids,internal,3389,udp,medium,normal,1,292,2825,0,0
firewall,internal,22,tcp,high,normal,2,503,994,1,1
firewall,external,5432,tcp,medium,normal,1,98,2007,0,0
firewall,internal,3306,tcp,high,malware,1,737,759,0,1
firewall,internal,443,tcp,low,normal,0,173,14662,0,0
ids,internal,8080,tcp,low,normal,1,916,2701,0,0
ids,internal,3306,tcp,low,normal,1,29,3135,0,0
auth,internal,22,tcp,low,normal,1,91,13789,0,0
firewall,internal,443,udp,high,port_scan,2,331,833,1,1
ids,external,3389,tcp,high,malware,3,265,93,0,1
cloud,internal,8080,tcp,high,normal,5,472,5923,0,1
auth,external,25,tcp,low,normal,1,2,15478,1,1
cloud,internal,8080,tcp,low,normal,1,338,9387,0,0
firewall,internal,80,tcp,high,normal,2,329,2755,0,1
ids,internal,23,tcp,high,port_scan,3,127,2268,1,1
auth,external,53,tcp,low,normal,4,66,4877,0,1
ids,external,21,tcp,high,normal,0,606,664,0,1
firewall,internal,80,tcp,high,normal,1,241,4661,0,1
ids,internal,53,tcp,low,normal,0,199,4707,1,0
cloud,external,21,tcp,low,normal,6,188,3719,0,1
ids,external,3389,tcp,low,normal,4,151,7414,0,0
cloud,external,21,tcp,medium,normal,4,126,3138,1,1
cloud,internal,21,tcp,low,normal,2,149,3179,0,0
firewall,internal,53,tcp,medium,malware,0,403,82800,0,1
auth,external,80,tcp,low,normal,3,257,3253,0,1
auth,internal,5432,tcp,high,normal,1,234,6881,0,1
cloud,internal,25,tcp,low,normal,1,102,6284,1,0
firewall,internal,3306,udp,high,normal,3,48,6781,1,1
auth,internal,25,tcp,high,port_scan,2,13,1372,1,1
firewall,external,443,tcp,low,normal,3,47,170,0,1
cloud,external,8080,udp,low,normal,0,84,14103,0,0
firewall,internal,80,tcp,low,normal,0,31,2658,0,0
firewall,internal,8080,udp,low,normal,2,76,5084,0,0
auth,external,5432,tcp,medium,normal,2,262,2449,1,0
cloud,internal,443,tcp,low,normal,3,68,6995,1,0
firewall,internal,3389,tcp,low,normal,3,708,4476,0,0
ids,internal,21,tcp,low,normal,3,1355,79,0,0
firewall,internal,443,tcp,high,malware,3,1184,16848,1,1
cloud,internal,80,udp,high,malware,2,79,4305,1,1
auth,internal,8080,tcp,high,bruteforce,24,230,4708,0,1
cloud,internal,80,tcp,high,normal,3,199,3044,0,1
ids,external,3389,udp,high,malware,0,139,1347,0,1
firewall,external,53,tcp,high,malware,4,145,375,0,1
auth,external,80,tcp,medium,port_scan,3,212,2843,0,1
cloud,internal,21,tcp,high,port_scan,4,49,2692,1,1
ids,internal,443,tcp,high,port_scan,2,185,2699,0,1
cloud,external,53,tcp,low,normal,2,584,3377,0,1
firewall,external,25,tcp,low,normal,2,319,2609,0,1
ids,internal,3389,tcp,medium,normal,0,348,1431,0,0
firewall,internal,80,tcp,high,bruteforce,12,41,5746,0,1
ids,internal,25,tcp,high,normal,4,80,3054,0,1
firewall,internal,25,tcp,high,bruteforce,35,25,3214,1,1
ids,internal,3306,tcp,medium,normal,4,167,6090,0,0
ids,external,3306,tcp,medium,normal,4,245,5485,0,0
cloud,internal,80,tcp,low,normal,2,335,4241,0,0
ids,internal,21,tcp,low,normal,3,98,3829,0,0
ids,external,5432,tcp,low,normal,5,13,4041,0,0
firewall,internal,80,udp,low,normal,2,466,358,1,0
firewall,external,53,tcp,low,normal,1,229,5748,0,1
auth,internal,80,udp,high,port_scan,1,16,2452,0,1
firewall,external,5432,tcp,low,normal,2,14,4273,0,0
auth,internal,443,tcp,medium,bruteforce,37,123,5063,0,1
auth,external,443,tcp,high,bruteforce,39,54,7336,0,1
ids,internal,53,udp,high,port_scan,2,476,2366,1,1
ids,internal,21,udp,low,normal,0,176,5784,0,0
firewall,internal,53,tcp,low,normal,0,333,2332,0,0
firewall,internal,3306,tcp,medium,normal,3,437,3025,0,0
auth,internal,80,tcp,medium,normal,1,266,8285,0,0
firewall,external,80,tcp,high,port_scan,3,849,2607,1,1
firewall,internal,443,tcp,high,normal,1,4,1800,0,1
ids,external,80,udp,low,normal,0,113,17611,1,1
ids,internal,21,tcp,medium,normal,0,49,4818,0,0
firewall,external,25,tcp,high,normal,2,57,1008,1,1
firewall,internal,21,tcp,high,port_scan,4,633,6201,0,1
firewall,external,3389,tcp,low,normal,3,670,10714,0,0
ids,internal,80,tcp,low,normal,2,239,3290,0,0
auth,internal,3306,tcp,medium,normal,1,185,8095,0,0
cloud,internal,22,udp,medium,normal,1,181,3380,0,0
ids,external,25,tcp,low,normal,3,331,7489,1,1
firewall,external,5432,tcp,low,normal,4,309,639,0,0
cloud,external,8080,tcp,medium,bruteforce,41,397,2422,0,1
firewall,internal,25,tcp,medium,normal,0,610,19348,0,0
firewall,internal,25,udp,medium,normal,1,4,6102,0,0
ids,external,8080,tcp,low,normal,3,100,5827,0,0
auth,internal,5432,udp,high,malware,3,195,19602,1,1
ids,internal,25,tcp,low,normal,1,145,15602,0,0
cloud,external,21,tcp,low,normal,2,1414,4012,0,1
auth,internal,25,tcp,medium,bruteforce,25,172,1297,0,1
auth,external,21,tcp,low,normal,1,959,1769,1,1
auth,internal,8080,tcp,low,normal,1,28,2195,0,0
firewall,external,25,udp,medium,port_scan,3,143,777,0,1
firewall,external,25,tcp,low,normal,4,184,15281,0,1
cloud,external,8080,udp,low,normal,2,108,4763,0,0
cloud,internal,8080,tcp,medium,normal,0,565,272,0,0
firewall,internal,53,tcp,low,normal,2,102,442,0,0
cloud,external,3306,udp,high,bruteforce,32,231,2869,0,1
firewall,internal,22,tcp,medium,normal,0,222,15143,0,0
firewall,external,3389,tcp,medium,bruteforce,18,47,2271,1,1
firewall,internal,80,tcp,low,normal,2,101,2483,0,0
ids,internal,3389,tcp,low,normal,1,262,8919,1,0
ids,internal,5432,tcp,medium,malware,0,254,810,0,1
ids,internal,23,udp,high,port_scan,1,8,10775,0,1
firewall,external,25,tcp,low,normal,0,149,415,0,1
firewall,external,25,tcp,low,normal,2,756,3812,1,1
firewall,internal,22,tcp,medium,normal,1,457,2314,0,0
cloud,external,80,udp,low,normal,3,271,1027,1,1
firewall,external,8080,tcp,low,normal,1,812,17379,0,0
firewall,external,22,tcp,low,normal,0,10,14063,0,1
ids,internal,21,udp,medium,normal,2,147,411,0,0
ids,internal,21,tcp,high,normal,7,135,2305,1,1
auth,external,5432,tcp,low,normal,2,36,539,0,0
firewall,internal,21,tcp,high,normal,3,100,4348,1,1
auth,external,80,tcp,medium,bruteforce,36,0,1205,0,1
ids,external,5432,tcp,high,bruteforce,38,517,11438,0,1
firewall,external,3389,tcp,medium,malware,3,64,288,1,1
ids,external,25,tcp,low,normal,2,667,3613,0,1
ids,external,22,tcp,high,bruteforce,17,237,18356,0,1
ids,internal,3306,tcp,low,normal,4,219,550,0,0
ids,internal,3306,tcp,medium,bruteforce,37,6,5130,0,1
firewall,internal,53,tcp,medium,normal,3,331,9234,0,0
ids,internal,80,udp,medium,malware,1,595,16353,1,1
cloud,internal,53,tcp,low,normal,2,379,3217,1,0
firewall,internal,8080,tcp,medium,normal,0,413,4250,0,0
ids,internal,22,tcp,high,bruteforce,23,1570,1133,1,1
ids,internal,53,tcp,medium,bruteforce,18,747,4667,0,1
firewall,external,53,tcp,medium,normal,4,187,2803,1,1
ids,external,23,tcp,medium,port_scan,4,119,7154,1,1
cloud,external,53,tcp,low,normal,2,531,1182,0,1
cloud,internal,3389,tcp,high,normal,0,1164,851,0,1
ids,internal,80,tcp,high,malware,1,333,4968,0,1
firewall,internal,25,tcp,low,normal,1,100,13387,0,0
ids,internal,443,tcp,medium,bruteforce,24,296,4457,0,1
auth,internal,5432,udp,high,bruteforce,26,21,10510,0,1
firewall,internal,3306,tcp,low,normal,5,242,1697,0,0
ids,internal,25,tcp,low,normal,1,181,261,0,0
ids,external,21,tcp,low,normal,3,440,3839,0,1
auth,external,3306,udp,medium,normal,2,200,2383,0,0
firewall,internal,80,tcp,high,normal,0,230,6584,1,1
ids,internal,5432,udp,low,normal,3,1205,11055,1,0
auth,internal,80,udp,low,normal,1,119,759,1,0
firewall,internal,21,udp,high,port_scan,0,178,2461,0,1
cloud,external,21,udp,low,normal,1,555,27059,0,1
ids,external,5432,tcp,low,normal,3,405,4062,0,0
auth,internal,80,tcp,low,normal,6,191,6008,1,0
auth,internal,8080,tcp,medium,normal,0,6,26671,1,0
ids,internal,8080,tcp,low,normal,4,440,3693,0,0
auth,internal,5432,tcp,low,normal,1,19,1191,0,0
firewall,external,3389,tcp,low,normal,2,729,7644,1,0
cloud,external,80,udp,low,normal,3,94,5690,0,1
ids,internal,53,tcp,low,normal,0,44,10193,0,0
auth,internal,21,tcp,low,normal,2,18,2590,0,0
firewall,external,21,tcp,high,normal,3,838,7448,0,1
cloud,internal,25,tcp,high,normal,2,16,11066,1,1
firewall,external,25,tcp,high,normal,0,242,5991,1,1
cloud,internal,3389,udp,low,normal,2,66,2196,0,0
cloud,internal,22,tcp,high,port_scan,0,507,2054,0,1
ids,external,22,tcp,high,normal,1,50,1618,0,1
cloud,internal,80,tcp,high,port_scan,1,157,3490,0,1
cloud,internal,80,tcp,low,normal,2,97,5294,0,0
ids,internal,443,tcp,medium,normal,1,322,3567,1,0
firewall,internal,8080,tcp,high,bruteforce,20,179,640,0,1
firewall,external,22,tcp,high,normal,3,139,2870,0,1
ids,internal,443,udp,medium,normal,1,18,2041,0,0
ids,external,53,tcp,low,normal,2,7,8401,0,1
ids,internal,3306,udp,low,normal,3,550,1748,1,0
ids,internal,443,tcp,high,port_scan,3,111,14037,0,1
firewall,external,8080,udp,low,normal,1,822,1901,0,0
ids,external,3389,tcp,low,normal,1,580,398,0,0
cloud,internal,25,tcp,low,normal,2,100,1500,1,0
auth,internal,3306,udp,low,normal,5,208,2280,0,0
ids,internal,25,tcp,low,normal,0,346,2970,0,0
auth,external,443,udp,low,normal,2,21,8856,0,1
auth,internal,21,tcp,medium,normal,1,194,1251,0,0
cloud,internal,8080,tcp,low,normal,4,323,223,0,0
ids,internal,22,tcp,low,normal,3,79,3810,1,0
ids,internal,22,tcp,medium,port_scan,2,83,863,0,1
cloud,external,8080,tcp,low,normal,2,10,11581,0,0
cloud,internal,3306,tcp,medium,normal,1,2,8007,0,0
auth,internal,5432,tcp,low,normal,1,27,3023,0,0
auth,internal,3306,tcp,low,normal,3,253,3032,0,0
ids,internal,8080,tcp,high,bruteforce,37,21,3787,0,1
firewall,internal,5432,tcp,high,bruteforce,19,681,5180,0,1
ids,internal,8080,tcp,medium,normal,5,135,2384,0,0
ids,internal,53,tcp,medium,normal,5,87,2116,1,0
cloud,external,8080,tcp,high,malware,1,265,2202,0,1
ids,external,3389,tcp,medium,normal,3,2,9635,0,0
firewall,internal,3306,tcp,medium,normal,3,299,1526,1,0
cloud,internal,5432,tcp,medium,normal,4,535,1511,0,0
ids,internal,443,udp,high,port_scan,4,794,2772,0,1
cloud,internal,5432,tcp,low,normal,2,1242,6662,1,0
cloud,external,21,udp,low,normal,0,5,1461,1,1
firewall,external,8080,tcp,low,normal,1,353,2027,1,0
ids,external,8080,tcp,high,bruteforce,12,266,912,0,1
firewall,internal,23,tcp,high,port_scan,2,131,2338,0,1
firewall,external,80,tcp,medium,port_scan,2,17,2043,0,1
firewall,internal,3306,udp,low,normal,1,926,9355,0,0
ids,external,25,tcp,medium,normal,1,54,7718,0,1
cloud,internal,443,tcp,high,port_scan,4,231,16018,0,1
ids,internal,8080,tcp,high,bruteforce,18,105,3078,1,1
auth,internal,53,tcp,medium,port_scan,1,129,5178,1,1
ids,internal,53,tcp,high,bruteforce,23,4,2441,0,1
firewall,external,80,tcp,low,normal,1,144,2901,0,1
cloud,external,21,udp,high,malware,2,37,12783,1,1
ids,external,80,tcp,high,port_scan,1,83,14825,0,1
ids,external,5432,tcp,medium,normal,2,13,939,1,0
auth,internal,3306,tcp,low,normal,3,95,668,0,0
auth,internal,25,tcp,medium,normal,0,27,1015,0,0
auth,internal,443,tcp,low,normal,0,169,2470,0,0
firewall,external,8080,tcp,medium,normal,1,31,8278,0,0
ids,internal,80,tcp,medium,port_scan,4,952,5620,0,1
cloud,internal,23,tcp,medium,port_scan,2,155,124,0,1
cloud,internal,22,tcp,low,normal,2,170,4098,0,0
firewall,external,443,udp,high,normal,3,1134,1279,1,1
cloud,external,23,tcp,medium,port_scan,2,188,6298,1,1
firewall,internal,21,tcp,high,normal,1,2,3348,0,1
firewall,external,5432,tcp,low,normal,1,185,1201,1,0
ids,internal,8080,udp,high,bruteforce,26,443,8010,1,1
firewall,internal,3306,tcp,medium,bruteforce,18,59,17100,0,1
firewall,external,3389,tcp,low,normal,4,289,1772,1,0
ids,internal,53,tcp,high,port_scan,4,135,4647,0,1
firewall,internal,3389,tcp,high,bruteforce,30,569,272,0,1
auth,external,25,tcp,low,normal,3,281,17075,1,1
auth,external,22,tcp,low,normal,2,76,1998,0,1
auth,external,22,tcp,high,normal,0,67,1989,0,1
cloud,internal,22,tcp,high,port_scan,0,25,4186,0,1
ids,internal,25,tcp,medium,port_scan,4,602,5844,0,1
firewall,internal,5432,udp,high,malware,1,1047,10314,0,1
auth,external,443,tcp,low,normal,3,93,8847,0,1
firewall,internal,21,tcp,low,normal,0,435,9635,1,0
firewall,internal,443,tcp,low,normal,3,45,2958,0,0
ids,internal,53,tcp,medium,port_scan,0,225,6610,1,1
cloud,external,443,tcp,medium,port_scan,3,147,7917,1,1
firewall,internal,5432,tcp,high,bruteforce,27,343,44,1,1
cloud,internal,25,tcp,low,normal,3,66,4844,0,0
firewall,internal,3389,tcp,medium,malware,0,217,18756,1,1
auth,internal,5432,udp,low,normal,4,52,1477,0,0
cloud,internal,21,tcp,high,port_scan,0,92,5154,0,1
auth,internal,21,udp,medium,normal,7,502,10122,0,0
firewall,external,5432,tcp,low,normal,1,110,3799,1,0
firewall,internal,3389,udp,low,normal,1,32,136,0,0
cloud,internal,80,tcp,high,bruteforce,19,293,4409,0,1
firewall,internal,22,tcp,medium,malware,3,612,9921,0,1
firewall,external,3389,udp,high,bruteforce,32,349,10192,0,1
ids,internal,5432,tcp,high,normal,2,75,6688,0,1
cloud,external,8080,tcp,high,malware,0,203,71367,0,1
ids,external,22,tcp,medium,normal,1,45,790,0,1
auth,internal,53,tcp,medium,normal,3,77,1238,0,0
firewall,internal,53,udp,low,normal,4,68,65,1,0
firewall,external,80,tcp,high,bruteforce,16,148,4991,0,1
auth,external,80,udp,medium,normal,3,810,528,0,1
ids,external,53,udp,low,normal,1,87,2831,0,1
firewall,external,22,tcp,medium,normal,1,321,1162,0,1
auth,internal,3306,tcp,high,bruteforce,32,149,4184,1,1
cloud,external,80,udp,medium,normal,1,47,1213,0,1
ids,internal,22,tcp,low,normal,4,157,12222,0,0
cloud,internal,25,tcp,low,normal,2,405,288,1,0
auth,external,22,tcp,high,malware,3,694,8871,0,1
cloud,internal,3389,tcp,low,normal,1,242,18655,1,0
firewall,internal,5432,udp,high,normal,2,235,500,0,1
firewall,internal,5432,tcp,high,malware,1,212,8424,0,1
cloud,internal,5432,tcp,high,normal,3,728,1845,0,1
cloud,external,3389,tcp,low,normal,1,144,2958,0,0
firewall,internal,443,tcp,low,normal,1,213,13498,0,0
ids,external,3306,tcp,medium,normal,3,867,2010,1,0
firewall,internal,3389,tcp,high,normal,2,71,325,1,1
firewall,internal,80,tcp,low,normal,1,91,642,0,0
ids,internal,3389,tcp,medium,normal,0,10,3093,1,0
ids,internal,5432,tcp,low,normal,3,604,76,0,0
cloud,internal,23,tcp,medium,port_scan,2,718,290,0,1
ids,external,5432,tcp,low,normal,0,695,2423,1,0
auth,internal,3306,tcp,medium,normal,2,91,1935,0,0
ids,internal,443,tcp,high,normal,1,226,643,0,1
firewall,internal,53,tcp,low,normal,3,219,9501,1,0
ids,internal,80,tcp,low,normal,1,17,3733,1,0
ids,internal,8080,tcp,medium,normal,4,90,2180,0,0
auth,external,3389,tcp,high,malware,2,167,17202,0,1
cloud,internal,443,tcp,high,bruteforce,29,184,1351,0,1
ids,internal,21,tcp,low,normal,1,115,308,0,0
firewall,internal,443,tcp,high,port_scan,1,121,2469,1,1
firewall,internal,22,tcp,medium,normal,3,237,381,1,0
cloud,internal,25,tcp,high,normal,2,29,2663,0,1
auth,external,21,udp,low,normal,3,171,2430,1,1
firewall,external,5432,tcp,medium,normal,2,271,293,0,0
auth,internal,443,udp,medium,malware,1,338,18897,0,1
cloud,external,53,tcp,high,bruteforce,14,91,5211,0,1
ids,internal,5432,tcp,low,normal,2,428,4737,0,0
firewall,external,25,tcp,low,normal,0,68,3004,0,1
cloud,external,8080,udp,medium,bruteforce,11,239,10857,1,1
auth,internal,80,tcp,low,normal,0,475,6197,1,0
firewall,internal,53,tcp,medium,normal,1,162,9586,0,0
firewall,internal,25,tcp,high,port_scan,2,125,9965,0,1
firewall,internal,53,tcp,high,bruteforce,43,159,4207,0,1
firewall,internal,5432,tcp,low,normal,3,225,10267,0,0
auth,external,5432,tcp,high,normal,1,1631,14372,0,1
firewall,internal,80,tcp,medium,bruteforce,34,437,275,0,1
auth,internal,53,tcp,high,normal,3,72,136,0,1
cloud,external,3306,tcp,low,normal,3,250,263,0,0
ids,external,21,tcp,low,normal,4,8,3182,1,1
firewall,internal,53,tcp,medium,port_scan,3,91,892,0,1
firewall,external,3389,udp,low,normal,0,273,4661,0,0
auth,external,3306,tcp,low,normal,0,335,1330,1,0
ids,internal,3306,tcp,low,normal,3,177,3051,0,0
auth,internal,53,tcp,low,normal,0,10,2251,0,0
cloud,external,53,tcp,low,normal,1,698,142,0,1
firewall,external,22,tcp,low,normal,6,81,2081,0,1
cloud,internal,22,tcp,low,normal,0,342,7149,0,0
cloud,internal,22,tcp,low,normal,0,242,711,0,0
ids,external,443,tcp,medium,normal,1,315,1478,1,1
ids,external,443,tcp,medium,malware,1,76,7821,1,1
cloud,external,80,udp,low,normal,2,200,739,0,1
cloud,external,5432,udp,high,normal,3,208,52,0,1
ids,external,5432,tcp,medium,bruteforce,18,6,6354,0,1
ids,external,21,tcp,medium,normal,1,54,2570,1,1
ids,external,21,tcp,high,port_scan,2,549,503,0,1
cloud,external,22,tcp,medium,normal,0,458,4785,0,1
ids,internal,25,tcp,low,normal,4,346,5862,0,0
firewall,external,80,tcp,low,normal,3,102,3088,0,1
cloud,internal,5432,tcp,high,normal,1,126,8186,0,1
ids,internal,80,tcp,high,malware,3,44,22128,1,1
auth,internal,3389,tcp,high,normal,2,176,9846,0,1
ids,internal,80,udp,medium,normal,1,57,2361,0,0
cloud,internal,5432,tcp,medium,normal,3,1627,16051,0,0
ids,external,443,tcp,high,normal,6,251,7731,0,1
auth,external,3389,tcp,low,normal,3,446,21,0,0
auth,external,21,tcp,low,normal,4,293,5917,0,1
ids,external,25,udp,low,normal,6,807,3463,0,1
ids,internal,25,tcp,low,normal,1,186,9913,0,0
firewall,internal,22,udp,medium,normal,3,27,5509,1,0
ids,internal,3306,tcp,medium,normal,3,224,1181,0,0
cloud,internal,5432,tcp,medium,bruteforce,27,1116,2658,0,1
cloud,external,3306,tcp,low,normal,1,246,5053,0,0
firewall,internal,3306,tcp,medium,malware,0,250,6678,0,1
